Adresse,Code postal,Téléphone,Téléphone sans frais,Télécopieur,Courriel,Site Internet,Total: PSL,Total: HLM,Total: Total
" 1475, avenue Bennett", H1V 2S5, (514) 251-2081,, (514) 251-0577, capsaintbarnabe@videotron.ca,,29,0,29
" 709-A, rue Chatham", H3J 1Z3, (514) 934-1605,, (514) 934-5441, cegecom@cegecom.ca,,25,28,53
" 1300, boulevard Rosemont", H2G 1S1, (514) 908-5444,,, direction@carrefourrosemont.ca,,0,0,0
" Bureau 1 , 2338, rue Saint-Antoine Ouest", H3J 1A8, (514) 933-7351,,, rosemarys@centrestantoine.com,,0,23,23
" 5675, rue Lafond", H1X 2X6, (514) 722-1851,,, afavron@petitecote.org,,0,0,0
" 170, rue du Buisson", H8Y 2Z6, (514) 421-1586,,, c.richard@centredecriseoi.com,,0,0,0
" 2473, rue Saint-Patrick", H3K 1B3, (514) 476-7667,,, cmv@centremarcvanier.org,,0,13,13
" Bureau 250 , 1600, boul. Henri-Bourassa Ouest", H3M 3E2, (514) 334-3979,, (514) 376-2502, supplementloyer.crlb@ssss.gouv.qc.ca,,324,0,324
" Bureau 117 , 211, rue de la Gauchetière Ouest", H2Z 1C5, (514) 875-9862,,,,,19,0,19
" 1075, rue de Bullion", H2X 2Z2,,,, charles.wong@lawwong.ca,,52,0,52
" 1626, rue Saint-Hubert", H2L 3Z3, (514) 287-9511,, (514) 287-9766, ecaron@machambreinc.org,,74,32,106
" 1626, rue Saint-Hubert", H2L 3Z3, (514) 287-9511,,, administration@chambreclerc.org,,32,17,49
" 480, rue Saint-Antoine Est", H2Y 1A5, (514) 527-5720,, (514) 527-7388, info@fohm.org,,17,11,28
" 7171, chemin de la côte-St-Luc", H4V 0A5, (514) 483-8500,,, eileen@residencebnaibrith.com,,64,0,64
" 5295, ch. Côte-Sainte-Catherine", H3W 0A1, (514) 527-5720,,, avillanueva@fohm.org,,27,0,27
" 3825, boulevard Cavendish", H4B 2N4,,,, admin@chezsoindg.com,,0,0,0
" 6055, rue Beaubien Est , Case postale 332", H1M 3M5, (514) 255-0117,,, cheznousartistes@videotron.ca,,30,0,30
" 445, rue de Malines", H2L 1J3, (514) 287-1473,, (514) 287-3301, info@reseauhabitationfemmes.org,,0,6,6
" 5181, rue Saint-Ambroise", H4C 2E9,,,, citadelle55@hotmail.ca,,18,0,18
" 1945, rue Mullins, bureau 120", H3K 1N9, (438) 383-3711,,, citedesbatisseurs.adjointadmi@gmail.com,,93,0,93
" Case postale 21 , Succursale Rosemont", H1X 3B6,,,,,,1,0,1
" 2310, boul. de Maisonneuve Est", H2K 2E7, (514) 395-8636,, (514) 395-0726,,,17,0,17
" 3210, rue Rachel Est", H1W 1A4,,,, info@societelogique.org,,12,0,12
" Bureau 106 , 1225, avenue Sainte-Croix", H4L 3Z2, (514) 744-0591,, (514) 527-7388, dsc1@videotron.ca,,0,40,40
" Bureau 106 , 1225, avenue Sainte-Croix", H4L 3Z2, (514) 744-0591,, (514) 744-2653, dsc1@videotron.ca,,0,36,36
" Bureau 117 , 1165, avenue Sainte-Croix", H4L 3Z2, (514) 527-5720,, (514) 527-7388, dsc3@bellnet.ca,,28,0,28
" 1818, rue Gilford", H2H 1G5, (514) 521-8619,, (514) 521-6019, direction@diners-st-louis.org,,0,0,0
" 1151, rue Alexandre-DeSève", H2L 2T7,,,, info@enmarge1217.ca,,0,0,0
" 7701, Avenue Léonard de Vinci E , Suite 111", H2A 0A1, (514) 593-7444,,, direction@entraidesaintmichel.org,,24,0,24
" 1460, boulvard Crémazie Est", H2E 1A2, (514) 321-4984,,, ftremblay@espacelt.org,,174,0,174
" a/s de la FOHM , 2310, boul. de Maisonneuve Est", H2K 2E7, (514) 527-5720,, (514) 527-7388, elemire@fohm.org,,0,51,51
" 5112, rue Bellechasse", H1T 2A4, (514) 259-9470,,, info@aveugles.org,,30,0,30
" Bureau 400 , 6555, ch. de la Cote-des-Neiges", H3S 2A6, (514) 341-1057,,, lesfondationsduquartier@gmail.com,,40,0,40
" Bureau , 1010, rue Sainte-Élisabeth", H2X 3C1, (514) 954-1926,, (514) 954-6769, fccmtlca@gmail.com,,0,20,20
" Bureau , 1008, rue Sainte-Élisabeth", H2X 3C1, (514) 954-1926,, (514) 954-6769, fccmtlca@gmail.com,,0,21,21
" Bureau 102 , 2580, rue Saint-Jacques", H3J 2M8, (514) 934-1777,, (514) 934-4848, foyerhongrois@videotron.ca,,89,25,114
" 4160, rue Clark, bureau 100", H2W 1W9, (514) 982-6786,,, jteixeirafoyersantacruz@videotron.ca,,0,31,31
" 4660, rue Saint-Dominique", H2T 1T5, (514) 788-3199,, (514) 527-7388, gbeaudoin@fohm.org,,0,24,24
" 1310, rue Notre-Dame", H8S 2C8,,,, caroline.descary@grentraidelachine.ca,,24,0,24
" 1, carré Cummings", H3W 1M6, (438) 798-3195,,, rebecca.levy@kehillamontreal.org,,36,0,36
" 2310, boulevard Maisonneuve Est", H2K 2E7, (514) 973-1602,, (514) 387-9353, dvalade@fohm.org,,0,0,0
" 6555, chemin Côte-des-Neiges , Bureau 400", H3S 2A6, (514) 803-0235,,,,,38,0,38
" Bureau 410 , 6555, chemin Cote-des-Neiges", H3S 2A6, (514) 735-0117,, (514) 735-8939, general@hccdn.ca,,70,0,70
" Bureau 5 , 3990, rue Sherbrooke Est", H1X 2A8, (514) 522-3190,,, c.gray@shapem.org,,47,0,47
" Bureau 102 , 3601, boulevard Gaétan-Laberge", H4G 0A5, (438) 383-4193,,, direction@entre-deux-ages.org,,97,0,97
" 7040, rue Hutchison", H3N 1Y7, (514) 585-5031,,, HCHM7040@hotmail.com,,48,0,48
" Bureau 600 , 3950, rue de Bellechasse", H1X 1J5, (514) 374-9309,, (514) 374-0946, direction@hcloggia.org,,12,0,12
" 135, avenue Dorval", H9S 3G6, (514) 780-4400,, (514) 780-1362, mdb.dorval@gmail.com,,0,0,0
" 4827, avenue Papineau", H2H 1V7, (514) 658-8013,, (514) 303-4322, esawicka@fohm.org,,102,51,153
" 4201, boulevard Robert, bureau 4", H1Z 1Y9,,,, htsm.gestion@gmail.com,,27,0,27
" 4235, avenue Prince Of Whales", H4B 2K9,,,, habitation.tango@gmail.com,,11,0,11
" 3111, rue Sherbrooke", H8S 1K3, (514) 538-3316,,, habitationcommunautairelachine@hotmail.com,,73,0,73
" 445, rue Jean-Talon Ouest , Bureau 304", H3N 1R1, (514) 583-1378,, (438) 384-1445, info@hapopex.org, www.hapopex.com,240,0,240
" Bureau 10 , 10000, boulevard Saint-Laurent", H3L 2N7, (514) 381-6633,, (514) 527-7388, acielouvert@bellnet.ca,,0,24,24
" a/s de la SOCAM , 1945, rue Mullins, bureau 110", H3K 1N9, (514) 932-7742,, (514) 932-0148, l.banga@gestionsocam.org,,0,25,25
" a/s de la SOCAM , 1945, rue Mullins, bureau 110", H3K 1N9, (514) 932-7742,, (514) 932-0148, l.banga@gestionsocam.org,,0,47,47
" 3210, rue Rachel Est", H1W 1A4, (514) 522-8284,, (514) 522-1535, info@societelogique.org,,7,0,7
" Bureau 225 , 14115, rue Prince-Arthur", H1A 1A8, (514) 498-1677,, (514) 498-9697, infohcm@mainbourg.org,,117,0,117
" 865, place Richmond", H3J 1V8, (514) 937-0211,, (514) 935-6550, nriendeau@portage.ca,,9,0,9
" 865, place Richmond", H3J 1V8,,,,,,29,0,29
" a/s SOCAM , 2125, rue Saint-Patrick", H3K 0B9, (514) 932-7742,,, l.peloquin@gestionsocam.org,,13,0,13
" 2990, avenue de Granby, bureau 2", H1N 2Z4,,,, hsfibenoit@hotmail.com,,91,0,91
" 6101, boulevard Léger, bur. 102", H1G 1L2, (438) 393-3400,, (866) 540-0610, gestion@igc.expert,,0,12,12
" Bureau 5 , 3990, rue Sherbrooke Est", H1X 2A8, (514) 522-3190,,, c.gray@shapem.org,,0,0,0
" 5112, rue Bellechasse", H1T 2A4, (514) 259-9470,, (514) 254-5079, info@aveugles.org,,13,0,13
" Services administratifs , 1330, rue Prieur Est, bureau 100", H2C 1L1, (514) 389-7017,, (514) 389-6826, jdupuis@fohm.org,,38,0,38
" Bureau , 2265, rue Sainte-Catherine Est", H2K 2J3, (514) 596-1555,,, ecoledessages@videotron.ca,,0,27,27
" Bureau 100 , 12700, rue de Montigny", H1A 0A1, (514) 498-8000,,, lesdeuxages@videotron.ca,,72,0,72
" 6001, avenue Christophe-Colomb", H2S 2G3, (514) 273-2521,, (514) 273-4625, direction@habitations2volets.ca,,25,45,70
" 206-55, ave. du Mont-Royal Ouest", H2T 2S6, (514) 341-1057,,, comptabilite@lestrinitaires.ca,,75,0,75
" Bureau 5 , 3990, rue Sherbrooke Est", H1X 2A8, (514) 522-3190,, (514) 522-1535, c.gray@shapem.org,,73,40,113
" 1945, rue Mullins, bureau 120", H3K 1N9,,,, direction@loggiapelican.ca,,95,0,95
" Appartement 001 , 855, boulevard Georges-Vanier", H3J 2B5, (514) 947-8590,,, losorio@fohm.org,,0,11,11
" 405, rue Ogilvy", H3N 1M3,,,, cpepin@hpdg.ca,,16,0,16
" 3950, rue Beaubien Est", H1X 3M8, (514) 376-9141,, (514) 933-7802, hna@bellnet.ca,,44,43,87
" 2035, rue Centre, bureau 7", H3K 1J1, (514) 939-3781,,, habitationsoasis@videotron.ca,,0,16,16
" 5959, boulevard Monk", H4E 3H5, (514) 943-1837,,, joanne@paradoxe.ca,,10,0,10
" 1945, rue Mullins, bureau 110", H3K 1N9, (514) 932-7742,,, m.sauve@gestionsocam.org,,27,0,27
" Bureau 5 , 3990, rue Sherbrooke Est", H1X 2A8, (514) 522-3190,,, c.gray@shapem.org,,67,0,67
" 3210, rue Rachel Est", H1W 1A4, (514) 522-8284,, (514) 522-2659, pegendron-landry@societelogique.org,,0,44,44
" 12165, boulevard Rolland", H1G 5Y1,,,, info@camee.ca,,32,0,32
" 1510, rue Préfontaine, app. 12", H1W 2N5, (514) 419-6646,,, matildefraga@gifraga.com,,0,19,19
" 7004, rue Hutchison, app. 2", H3N 1Y6,,,, directionheberjeune@gmail.com,,0,0,0
 Case postale 46564, H9H 5G9, (514) 675-2331,, (514) 694-1867, liledesamis@gmail.com, http://racorsm.org,12,10,22
" 1945, rue Mullins, bureau 120", H3K 1N9, (514) 933-2755,,, f.khenfri@gestionsocam.org,,7,0,7
" 1503, rue La Fontaine", H2L 1T7,,,, debbie.fleurant@interloge.org,,171,0,171
" Bureau 001 , 16014, rue Eugénie-Tessier", H1A 5T7, (438) 381-4286,,, pmgl@bell.net,,30,0,30
" 5694, avenue Somerled", H3X 1Z5, (514) 586-6753,,, lcsg2160@gmail.com,,28,0,28
" 1635, boulevard Gouin Est", H2C 1C2, (514) 381-1841,,, ghyslaine.lalande@gmail.com,,20,0,20
" 5112, rue de Bellechasse", H1T 2A4,,,, marjorie@aveugles.org, http://www.fondationdesaveugles.org/,46,0,46
" a/s de la FOHM , 2310, boul. de Maisonneuve Est", H2K 2E7, (514) 527-5720,, (514) 527-7388, avillanueva@fohm.org,,13,47,60
" 1070, avenue Hôtel-de-Ville", H2X 3A6, (514) 879-1325,, (514) 879-8528, org000843@gmail.com,,0,18,18
" Appartement G-015 , 990, rue Saint-Urbain", H2Z 1K6, (514) 861-0303,, (514) 861-0303, houselam@live.ca,,0,0,0
" 540, 33e Avenue", H8T 1Y8, (514) 366-3323,,, logements.communautairesll@videotron.ca,,15,0,15
" 387, 40e Avenue", H8T 2E7, (514) 634-8944,, (514) 634-2033, info@avatil.org,,0,14,14
" Bureau 3 , 5730, boulevard Saint-Laurent", H2T 1S8, (514) 495-0975,,, loges.du.mile.end@gmail.com,,16,0,16
" 1945, rue Mullins, bureau 120", H3K 1N3, (514) 933-2755,,, cap@projetpal.com,,0,6,6
" 1945, rue Mullin, bureau 120", H3K 1N9, (418) 562-3377,,, ruth@logifem.org,,6,0,6
" 2310, boul. de Maisonneuve Est", H2K 2E7, (514) 947-8590,,, dvalade@fohm.org,,11,12,23
" 2288, rue Prince-Georges, app.1", H2K 1S9, (514) 532-3135,,, direction@logisphare.ca,,6,0,6
" 11855, rue Marie-Anne-Lavallée", H3M 3E9, (514) 334-8686,,, logisrap@gmail.com,,11,0,11
" 6555, chemin Côte-des-Neiges , Bureau 400", H3S 2A6, (514) 512-5370,,,,,0,0,0
" 4770, rue de Salaberry", H4J 1H6, (514) 385-3511,,, maisoncaci.acadie@caci-bc.org,,46,0,46
" 50, rue Bonneau, bureau 200", H2Y 3C9, (514) 845-3906,, (514) 845-7019, comptabilite@accueilbonneau.com,,31,0,31
" 3742, rue Saint-Hubert", H2L 4A2, (514) 844-4874,, (514) 842-2991, comptable@maisondherelle.org,,14,0,14
" 1620, avenue de la Salle", H1V 2J8, (514) 598-9999,,, g.neamtan-lapalme@shapem.org,,22,0,22
" 709-A, rue Chatham", H3J 1Z3, (514) 934-1605,,, cooperatives@cegecom.ca,,0,18,18
" Bureau 200 , 2200, boulevard Crémazie Est", H2E 2Z8, (514) 606-6635,,, maisondessourdsdg@gmail.com,,48,0,48
" 550, boulevard René-Lévesque Est", H2L 2L3,,,, simon.briere@maisondupere.org,,109,0,109
" 4430, rue Saint-Jacques Ouest", H4C 1K2, (514) 932-4857,, (514) 932-8573, mja@maisonjeunaide.com,,0,32,32
" a/s d'Accueil Bonneau , 427, rue de la Commune Est", H2Y 1J4, (514) 845-3906,, (514) 845-7019, comptabilite@accueilbonneau.com,,46,0,46
" 4850, rue Jolicoeur, app. 2", H9H 5H1,,,, maison.accolade@hotmail.com,,0,23,23
" 8777, rue Hochelaga", H1L 2N1, (514) 355-4223,, (514) 355-7352, info@maisonechelon.ca,,23,0,23
" 10375, rue Papineau", H2B 2A3, (514) 382-2760,,, adm.leclaircie@videotron.ca,,28,0,28
" 2590, avenue Letourneux", H1V 2P4, (514) 255-7727,, (514) 255-7728, hpaille@maison-exode.org,,24,0,24
" 6899, rue Papineau, bureau 129", H2G 2X6, (514) 507-8312,, (514) 276-6299, maisonleparcours@videotron.ca,,27,9,36
" 20, rue Guilbault Est", H2X 1A1, (514) 845-7793,,, msd@maisonstdominique.org,,62,0,62
" 2500, rue Sainte-Catherine Est", H2K 2K2, (514) 527-9233,,, comptabilite@aecmtl.org,,6,0,6
" 3970, boul. Cavendish, bureau 1", H4B 2N3, (514) 369-0757,, (514) 369-2954, director@o3onourown.com,,20,0,20
" 2250, rue Florian", H2K 2P5, (514) 528-9000,,, administration@metadame.org,,35,0,35
" 606, rue de Courcelle", H4C 3L5, (515) 523-5288,,, mlamberti@missionba.com,,73,0,73
" 902, boulevard Saint-Laurent", H2Z 1J2, (514) 866-6591,,,,,53,0,53
" Bureau 400 , 6555, rue Cote-des-Neige", H3S 2A6, (514) 832-0505,,, obnlmtmc@gmail.com,,11,0,11
" 5995, rue Hochelaga", H1N 1X3,,,, j.veilleux@centrenaha.org,,20,0,20
" 1945, rue Mullins, bureau 120", H3K 1N9,,,, f.khenfri@gestionsocam.org,,21,0,21
" 1945, rue Mullins, bureau 120", H3K 1N9,,,, f.khenfri@gestionsocam.org,,25,0,25
" 2125, rue Saint Patrick", H3K 0B9,,,, m.sauve@gestionsocam.org,,50,0,50
" 2125, rue saint Patrick", H3K 0B9,,,, m.sauve@gestionsocam.org,,65,0,65
" Bureau 110 , 1945, rue Mullins Sud", H3K 1N9,,,, m.sauve@gestionsocam.org,,16,0,16
" a/s de la SOCAM , 2125, rue Saint-Patrick", H3K 0B9, (514) 932-7742,, (514) 932-0148, jj.kasembe@gestionsocam.org,,0,12,12
" 1575, boul. René-Lévesque Est , Case postale 284", H2L 4L2, (514) 526-1699,,, direction@pasdelarue.org,,47,0,47
" Case postale 65005 , Succursale Charlevoix", H3Z 3G3, (514) 939-0512,,, coordination@passerelle2e.ca,,5,0,5
" 2125, rue Saint-Patrick", H3K 0B9, (999) 999-9999,,,,,0,0,0
" a/s de la FOHM , 2310, boul. de Maisonneuve Est", H2K 2E7, (514) 527-5720,, (514) 527-7388, info@fohm.org,,0,22,22
" Bureau 400 , 6555, ch. de la Cote-des-Neiges", H3S 2A6, (514) 341-1057,,, podimtl@gmail.com,,45,0,45
" 5847, rue Hamilton", H4E 3B9, (514) 362-7221,, (514) 362-7076, comptabilite@achim.ca,,0,28,28
" 169, rue de la Gauchetière Est", H2X 1P7, (514) 879-3310,,, heather.johnston@paqc.org,,16,0,16
" 530, chemin de la Rive", G0X 1N0, (819) 375-1000,,,,,11,0,11
" a/s de la SOCAM , 1945, rue Mullins, bureau 110", H3K 1N9, (514) 932-7742,, (514) 932-0148, l.banga@gestionsocam.org,,0,58,58
" 2075, rue Théodore", H1V 3C1, (514) 251-2525,, (514) 251-8816, info@rsipropulsion.ca,,0,15,15
" 9335, boulevard Pie IX, app. 9", H1Z 3W5,,,, relaisdesjeunesfamilles@hotmail.com,,53,0,53
" 1064, avenue de l'Hôtel-de-Ville , Bureau 1", H2X 3A6, (514) 253-9529,,, esawicka@fohm.org,,70,18,88
" 1200, boulevard Alexis-Nihon", H4R 3C9, (514) 526-1916,,, dg@residencealexisnihon.org,,0,0,0
" Bureau administratif , 56, rue Sherbrooke Est", H2X 1C3, (514) 282-9860,,, matildefraga@gifraga.com,,9,0,9
" 12694, boulevard Gouin Ouest", H8Z 1W4, (514) 421-2212,,, cdubois@centrebienvenue.org, www.centrebienvenue.org,17,0,17
" Appartement G-015 , 990, rue Saint-Urbain", H2Z 1K6,,,,,,9,0,9
" 5112, rue Bellechasse", H1T 2A4, (514) 259-9470,, (514) 254-5079, marjorie@aveugles.org,,0,17,17
" 5100, rue des Maçons, bureau 100", H8Z 2X8, (514) 620-9695,,, res.n.mcalister@videotron.ca,,0,34,34
" Bureau 17 , 3950, boulevard Cavendish", H4B 2N3, (514) 871-8213,, (514) 527-7388, projet.chance.montreal@gmail.com,,0,23,23
" 3950, boulevard Cavendish , Bureau 17", H4B 2H3, (514) 527-5720,, (514) 527-7388, projet.chance.montreal@gmail.com,,0,0,0
" 6300, 8e Avenue", H1Y 3E6,,,, ukres@videotron.ca,,0,0,0
" 94, 10e Avenue, appartement 105", H8S 3E1, (514) 527-5720,,, jdupuis@fohm.org,,8,0,8
" 8000, chemin de la Côte-St-Luc", H4W 1R6, (514) 223-2023,,, eileen@residencebnaibrith.com,,33,0,33
" Services administratifs , 5750, avenue Lemieux, bureau 116", H3W 3G1, (514) 737-7774,, (514) 737-6365,,,104,0,104
" 8756, rue Ernest-Savignac", H2M 2M3,,,, daniel_lecuyer@hotmail.com,,32,0,32
" Bureau 100 , 10460, place de l'Acadie", H3M 2X6,,,, rho@videotron.ca,,73,0,73
" 9870, rue Laverdure, bureau 100", H3L 0A7, (514) 528-8833,,, directiongenerale@revanous.org,,52,0,52
" 1050, rue Jeanne-Mance", H2Z 1L7, (514) 284-9665,,, nouellet@laruedesfemmes.org,,0,0,0
" 2485, rue Saint-Patrick , 1650, rue Saint-Timothée", H3K 3H7,,,,,,20,0,20
 3702 rue Sainte-Famille, H2X 2L4,,,,,,12,0,12
" 1945, rue Mullins, bureau 120", H3K 1N9,,,,,,0,0,0
" 3210, rue Rachel Est", H1W 1A4,,,, info@societelogique.org,,6,0,6
" 2310, boul. de Maisonneuve Est", H2K 2E7, (514) 947-8513,, (514) 852-0723, gbeaudoin@fohm.org,,0,16,16
" 11100, rue Notre-Dame Est", H1B 5V2,,,, mhadjadji@gerersonquartier.com,,18,0,18
" 8000, rue Notre-Dame", H8R 1H2, (514) 815-1488,,, societeresidentielleeim@gmail.com,,0,6,6
" 4075, rue de Verdun, bureau 100", H4G 2N3, (514) 508-1873,, (514) 508-1874, sltdepal@gmail.com,,25,0,25
" 6910, rue Saint-Denis , Case postale 65034", H2S 2S0,,,, utpt500@gmail.com,,26,0,26
" 9250, boulevard Hochelaga", H1L 2P4, (514) 493-9250,,, toitsdemercier@outlook.com,,62,0,62
" 1290, rue de la Visitation", H2L 3B4,,,, cdomingues@fohm.org,,56,0,56
" 2310, boul. de Maisonneuve Est", H2K 2E7, (514) 364-5409,, (514) 527-7388, losorio@fohm.org,,0,14,14
" 5350, rue Rivard, bureau 206", H2J 0B3, (514) 270-8488,,, info@utopiecreatrice.org,,7,0,7
" 1273, rue Saint-André", H2L 3T1,,,, salina.ferrari@dianova.ca,,55,0,55
" 25, avenue Fieldfare", H9W 4W4, (514) 697-0123,,, bureau@villabeaurepaire.com,,33,0,33
" 4655, rue Euclide-Brien, app. 1", H1X 3K4, (514) 371-6422,,, ecaron@machambreinc.org,,0,29,29
" Local 100 , 12430, avenue de la Miséricorde", H4J 2G2, (514) 331-3840,, (514) 335-3917, villaraimbault@videotron.ca,,43,0,43
" 6400, 8e Avenue", H1Y 3H4, (514) 374-6400,, (514) 374-7299, ukvilla@qc.aibn.com,,0,56,56
" 19, rue Hanson", J8Y 3M4, (819) 770-2000,, (819) 770-3907, info@larche-outaouais.ca,,5,8,13
" 115, boul. Sacré-Coeur , bureau 206", J8X 1C5,,,,,,18,0,18
" 196, rue Notre-Dame", J8P 0E6, (819) 663-3305,, (819) 669-9465, lnguyen@campus3.ca, www.campus3.ca,100,0,100
" 1232, boul. Saint-René Ouest", J8T 6H3, (819) 568-4555,,, dg@inter-section.ca,,67,0,67
" 124, rue Lois, bureau 204", J8Y 3R7, (819) 770-1022,, (819) 770-1023, crr_ressourse@ssss.gouv.qc.ca,,0,0,0
 Case postale 482, J9H 5E7,,,, kogaluk@outlook.com,,11,0,11
" 275, rue Principale", J0V 1S0,,,, dg.plaisance@mrcpapineau.com,,0,0,0
" 231A, rue Main", J8P 5J7, (819) 893-1771,, (819) 893-1775, jllfio@videotron.ca,,27,14,41
" 85, rue Morin", J8X 0A1, (819) 776-5953,,, administration@legiteami.org,,0,0,0
" Bureau 100 , 782, boulevard Saint-René Ouest", J8T 0H1, (819) 893-6590,,, dg@habitationsrivieresoutaouais.com,,163,0,163
" 649, boulevard de la Gappe", J8T 8G1, (819) 568-3911,,, gagnon.d@ohoutaouais.ca, www.ohoutaouais.ca,322,0,322
" 568, rue Foran", J9H 5M2, (819) 661-6689,,, sylvain.quinn@csspo.gouv.qc.ca,,0,24,24
" 544, rue des Peupliers", J0V 1N0, (819) 712-1368,,, leshabitationsnamur@outlook.com,,0,9,9
" Bureau 100 , 808, boulevard Maloney Est", J8P 0J8, (819) 772-1390,,, eric@moncheznousinc.ca,,17,0,17
" 209, rue Principale Sud", J9E 2A3, (819) 449-4545,,, info@haltefemmehautegatineau.ca,,0,0,0
" 132, rue MacLaren Est", J8L 1K1, (819) 281-0680,,, adjointe@boulev-art.ca,,6,0,6
" Bureau 100 , 10, rue du Curé-André-Préseault", J8T 6N8, (819) 246-6644,,, logemenoccupe@bellnet.ca,,17,0,17
" Services administratifs , 49, rue Mutchmore, bureau 326", J8Y 3T5, (819) 776-2160,,, log.out@videotron.ca,,71,0,71
" Case postale 2993 , Succursale Buckingham", J8L 2X5, (819) 986-2525,,, direction@maisondeuxvallees.com,,0,0,0
" 260, rue Saint-Rédempteur , Bureau 100", J8X 2T1, (819) 743-1508,,, mimosa@sc-inf-mte.com,,21,0,21
" 808, boulevard Maloney Est", J8P 0J8, (819) 669-6032,,, eric@moncheznousinc.ca,,114,0,114
" 95, rue Lois", J8Y 3R5, (819) 778-1325,,, oeuvres_isidore_ostiguy@hotmail.com,,20,0,20
" 125, rue Berri", J8Y 4H9, (819) 661-6689,,, pavillonlarocque@outlook.com,,0,30,30
" 52, rue Élisabeth-Chauvin", J8L 0W7, (819) 281-6660,,, direction@rbavl.onmicrosoft.com,,35,0,35
" 14, rue Ludger-Pilon", J0V 1P0, (819) 712-1368,,, residenceleportebonheur@outlook.com,,0,9,9
" 111, rue Notre-Dame", J0X 1M0,,,,,,6,0,6
" 29, rue Principale , Case postale 10", J0X 2C0, (819) 449-4339,,, direction@omhmg.com,,0,9,9
" 297, boulevard des Allumettières", J8X 2S7, (819) 778-0173,,, comptabilite@soupepopulairedehull.org,,24,0,24
" 100 A, chemin du Pont", J8N 0L1, (819) 457-2121,,, villa.st.louis.de.france.vdm@gmail.com,,13,0,13
" 2, rue Joseph-Gagné", J0Y 2M0, (819) 737-8952,,, ilotdor@hotmail.com,,5,0,5
" 70, rue Gamble Ouest", J9X 2R4, (819) 797-5141,, (819) 797-0012, direction@le-pont.ca,,0,8,8
" 42, rue Principale Nord , Case postale 33", J9T 3A5, (819) 732-1265,,, archeamos@cableamos.com,,6,0,6
" 6916, boul. Témiscamingue", J9Y 0K8, (819) 797-2900,,, labastidedesaines@hotmail.com,,7,0,7
" 100, chemin Docteur-Lemay", J9X 5T2, (819) 762-6592,,, claudie.cote-canuel@ssss.gouv.qc.ca,,23,0,23
" 121, rue Principale Sud", J9T 3A5,,,, adjointe_adm@crcatnq.org,,0,0,0
" 35, 3e Avenue Est", J9Z 1H5, (819) 333-5136,, (819) 333-4116, Corpo.ombrelle@outlook.com,,0,8,8
" 28, 2e Rue , Case postale 369", J0Z 1G0, (819) 726-4121,, (819) 726-2121, dg@bearn.ca,,6,0,6
" 15, rue Ontario , Case postale 215", J0Z 3B0, (819) 723-2528,,, pavillon.nord@gmail.com,,0,12,12
" 209, 4e Avenue , Case postale 63", J0Z 1L0, (819) 722-2222,, (819) 722-2130, pavillonbelleterre.est@outlook.com,,0,10,10
" 204, rue Principale , Case postale 238", J0Z 1M0, (819) 787-2035,,,,,0,0,0
" 1300, chemin Sullivan", J9P 1L8, (819) 824-3472,,, mbreton@grtatu.org,,27,0,27
" 2, rue Lafrenière Nord , C.P. 184", J0Z 2P0, (819) 765-5261,,,,,4,0,4
" 1080, rue Royale , C.P. 4015", J0Y 1Z0, (819) 757-6032,,,,,0,0,0
" 815, rue Vanasse", J9X 3V4, (514) 846-0163,,, info@colocq.org,,5,0,5
" 37, 7e Avenue", J0Z 3A0,,,, maisonnee@tlb.sympatico.ca,,0,0,0
" 1271, avenue des Bois", J0Y 1Z0, (819) 757-3228,,, plepine@grtatu.org,,19,0,19
" 380, avenue Richard, bur. 100", J9X 4L3, (819) 762-7217,, (819) 762-8403, info@lesintrepides.ca,,21,0,21
" 45, rue Principale", J0Z 2Z0, (819) 629-5962,,, logelec2020@outlook.com,,0,5,5
" 1431, rue Fullum, bureau 102", H2K 0B5, (514) 846-0163,,, info@colocq.org,,19,0,19
" 476, 7e Avenue", J9P 6A7, (819) 874-0001,, (819) 825-8061, logementpopulairevd@outlook.com,,0,18,18
" 1431, rue Fullum, bureau 102", H2K 0B5, (514) 846-0163,, (819) 762-4996, info@colocq.org,,0,6,6
" 1045, rue Perreault Est", J9X 5H5, (819) 762-7273,, (819) 762-7211, direction@maisondelenvol.ca,,0,0,0
" 221, rue Principale , Case postale 21", J9Z 2X4,,,, legiron2018@hotmail.com,,12,0,12
" 1179, 3e Rue", J9P 4B2, (819) 825-9222,,, dg@hotmail.com,,0,0,0
 Case Postale 3098, J0Y 1Z0, (819) 757-6072,,, liettegagnon@hotmail.com,,4,0,4
" 10, rue Humphrey", J0Z 3R0, (819) 627-3273,, (819) 627-3019, restem99@cablevision.qc.ca,,9,0,9
" 96, rue Sainte-Anne", J9V 2B7, (819) 629-3015,,, tcpat.org@hotmail.fr,,0,0,0
" 835, boulevard Joliet", G5C 1P5, (418) 589-9845,, (418) 589-8574, 09.corelo@ssss.gouv.qc.ca,,0,8,8
" 74, place Mingan", G4R 5B1,,,, nguerault@omhsi.ca,,48,0,48
" 896, rue Leventoux", G5C 1K1, (418) 589-6877,, (418) 589-5331, gestion@citedesbatisseurs.ca,,0,8,8
" 896, rue Leventoux", G5C 1K1, (418) 589-2211,, (418) 589-4384, gestion@citedesbatisseurs.ca,,0,4,4
 Case postale 2144, G0G 1J0, (819) 806-7127,,, habitatfermont@gmail.com,,0,12,12
